date,venueType,venueName,city,state,peopleKilled,peopleInjured,pistol,rifle,shotgun,unknownGun,explosive,knife,nonMetallicObject,googleMapsUrl
1/3/2014,10,St. Bernard Catholic Church,Eureka,CA,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Saint+Bernards+Roman+Catholic+Church/@40.801125,-124.162903,17z/data=!3m1!4b1!4m2!3m1!1s0x54d155632c5b3851:0x553af043de907fbe"
1/4/2014,6,Country Inn & Suites,Madison,AL,0,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Country+Inn+%26+Suites+By+Carlson,+Madison,+AL/@34.674145,-86.759736,17z/data=!3m1!4b1!4m2!3m1!1s0x8862656d701223f5:0xe9be825262ec1087"
1/5/2014,9,Bus,,MI,0,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Grand+Rapids+Bus+Services/@42.956279,-85.676796,17z/data=!3m1!4b1!4m2!3m1!1s0x8819ade79c6599a1:0xce628e6cedfc517c"
1/7/2014,1,Mount Saint Mary College,Grand Rapids,NY,1,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Mount+Saint+Mary+College/@41.511094,-74.013407,17z/data=!3m1!4b1!4m2!3m1!1s0x89dd31f15f0d9e67:0xbdd600f56b4365a0"
1/9/2014,1,Liberty Technology Magnet High School,Jackson,TN,0,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Liberty+Technology+Magnet+High+School/@35.675717,-88.760678,17z/data=!3m1!4b1!4m2!3m1!1s0x887c1dbb6777b32b:0xbacc38d3bd222c3f"
1/11/2014,1,Konawa School,Konawa,OK,0,0,0,0,0,1,0,0,0,"https://www.google.com/maps/search/Konawa+Schools+Konawa,+OK/@34.95641,-96.760204,17z/am=t/data=!3m1!4b1"
1/13/2014,10,Cine Bistro at Grove 16,Wesley Chapel,FL,1,1,1,0,0,0,0,0,0,"https://www.google.com/maps/place/CinéBistro+at+Grove+16/@28.249205,-82.348114,17z/data=!3m1!4b1!4m2!3m1!1s0x88c2b04a7ba6e14b:0xf41d65571ed91e3"
1/14/2014,1,Berrendo Middle School,Roswell,NM,0,2,0,0,1,0,0,0,0,"https://www.google.com/maps/place/Berrendo+Middle+School/@33.473605,-104.511435,17z/data=!3m1!4b1!4m2!3m1!1s0x86e2702bd9811ff9:0x2b12bc01e4dad5be"
1/16/2014,11,Doctor's Choice Medical Center,West Palm Beach,FL,2,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Doctor's+Choice+Medical+Center/@26.650409,-80.115845,17z/data=!3m1!4b1!4m2!3m1!1s0x88d9280dc25c5d97:0xe5e79a89d8d1d30b"
1/17/2014,1,Delaware Valley Charter High School,Delaware,PA,0,2,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Delaware+Valley+Charter+High+School/@40.0318764,-75.1499621,15z/data=!4m2!3m1!1s0x89c6b783624a8d5d:0xe98c5431a8d7c5a9"
1/21/2014,1,Purdue University,West Lafayette,IN,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Purdue+University/@40.423705,-86.921195,17z/data=!3m1!4b1!4m2!3m1!1s0x8812fd37423e0507:0x8eccb2cf8b1a7c8e"
1/20/2014,3,Easy Way Distribution Center,Memphis,TN,1,0,0,0,0,1,0,0,0,"https://www.google.com/maps/place/MacMall+Distribution+Center/@35.0464994,-89.8859485,13z/data=!4m5!1m2!2m1!1seasy+way+distribution+center+in+s+mendenhall,+memphis,+tennessee!3m1!1s0x887f8f6a768d58f1:0x61e0967b5f3779fc"
1/20/2014,6,Old English Inn,DeKalb,GA,0,4,0,0,0,1,0,1,0,"https://www.google.com/maps/place/Old+English+Inn/@33.734896,-84.229628,17z/data=!3m1!4b1!4m2!3m1!1s0x88f5aa33646bfcbb:0x7df820b0265f44f7"
